Date,Temperature,Soil_Moisture,Humidity,Wind_Speed,Rainfall
2026-02-01,15.7,439.29,90,4.79,3.8
2026-02-02,15.8,428.15,85,6.33,0.4
2026-02-03,15.9,380.22,94,8.1,5.1
2026-02-04,16.0,380.05,87,5.38,1.3
2026-02-05,16.1,455.96,92,10.82,9.6
2026-02-06,16.2,380.08,93,5.81,11.8
2026-02-07,16.3,379.8,89,2.93,2.2
2026-02-08,16.4,426.23,91,1.17,1.3
2026-02-09,16.5,379.75,95,5.64,0.8
2026-02-10,16.6,428.95,97,5.26,5.6
2026-02-11,16.7,379.95,90,2.82,5.2
2026-02-12,16.8,406.84,92,3.67,17.4
2026-02-13,16.9,380.25,71,9.59,12.8
2026-02-14,17.0,455.2,72,3.07,6.9
2026-02-15,17.1,445.58,80,7.44,2.3
2026-02-16,17.2,379.73,87,7.95,0.8
2026-02-17,17.3,379.85,70,3.71,0.0
2026-02-18,17.4,428.24,92,7.78,12.4
2026-02-19,17.5,379.98,79,2.38,0.5
2026-02-20,17.6,379.81,89,7.6,4.9
2026-02-21,17.7,442.75,87,5.77,7.7
2026-02-22,17.8,380.15,73,7.63,1.1
2026-02-23,17.9,380.17,87,4.97,1.2
2026-02-24,18.0,380.12,75,5.65,0.2
2026-02-25,18.1,435.08,90,5.49,14.9
2026-02-26,18.2,380.28,87,8.97,4.0
2026-02-27,18.3,427.36,77,3.67,0.6
2026-02-28,18.4,382.27,71,3.83,0.1
