FFMC,ISI,temp,RH,wind,rain,risk_class
86.2,5.1,8.2,51,6.7,0.0,3
90.6,6.7,18.0,33,0.9,0.0,3
90.6,6.7,14.6,33,1.3,0.0,3
91.7,9.0,8.3,97,4.0,0.2,4
89.3,9.6,11.4,99,1.8,0.0,3
92.3,14.7,22.2,29,5.4,0.0,4
92.3,8.5,24.1,27,3.1,0.0,4
91.5,10.7,8.0,86,2.2,0.0,4
91.0,7.0,13.1,63,5.4,0.0,4
92.5,7.1,22.8,40,4.0,0.0,4
92.5,7.1,17.8,51,7.2,0.0,4
92.8,22.6,19.3,38,4.0,0.0,4
63.5,0.8,17.0,72,6.7,0.0,1
90.9,7.0,21.3,42,2.2,0.0,3
92.9,9.2,26.4,21,4.5,0.0,4
93.3,13.9,22.9,44,5.4,0.0,4
91.7,7.8,15.1,27,5.4,0.0,4
84.9,3.0,16.7,47,4.9,0.0,3
89.2,6.3,15.9,35,4.0,0.0,3
86.3,5.1,9.3,44,4.5,0.0,3
91.0,7.0,18.3,40,2.7,0.0,4
91.8,9.2,19.1,38,2.7,0.0,4
90.2,6.2,19.5,43,5.8,0.0,3
93.5,20.3,23.7,32,5.8,0.0,4
91.4,10.6,16.3,60,5.4,0.0,4
92.4,12.2,19.0,34,5.8,0.0,4
90.9,7.0,19.4,48,1.3,0.0,3
93.4,8.1,30.2,24,2.7,0.0,4
93.5,8.1,22.8,39,3.6,0.0,4
94.3,15.9,25.4,24,3.6,0.0,4
88.6,7.1,11.2,78,7.6,0.0,3
88.6,5.8,20.6,37,1.8,0.0,3
91.7,7.8,17.7,39,3.6,0.0,4
91.8,9.2,21.2,32,2.7,0.0,4
90.3,6.3,18.2,62,4.5,0.0,3
90.6,6.7,21.7,24,4.5,0.0,3
90.0,8.7,11.3,60,5.4,0.0,3
90.6,6.7,17.8,27,4.0,0.0,3
88.1,3.8,14.1,43,2.7,0.0,3
79.5,1.5,23.3,37,3.1,0.0,2
90.2,8.9,18.4,42,6.7,0.0,3
94.8,17.0,16.6,54,5.4,0.0,4
92.5,7.1,19.6,48,2.7,0.0,4
90.1,6.2,12.9,74,4.9,0.0,3
94.3,15.9,25.9,24,4.0,0.0,4
90.9,7.0,14.7,70,3.6,0.0,3
94.2,11.0,23.0,36,3.1,0.0,4
87.2,4.1,11.8,35,1.8,0.0,3
87.6,5.0,11.0,46,5.8,0.0,3
92.9,9.2,20.8,17,1.3,0.0,4
90.2,6.3,21.5,34,2.2,0.0,3
92.1,9.6,20.4,42,4.9,0.0,4
91.7,6.3,17.6,45,3.6,0.0,4
92.9,9.2,27.7,24,2.2,0.0,4
90.3,6.3,17.8,63,4.9,0.0,3
92.6,8.8,13.8,50,2.7,0.0,4
84.0,2.1,13.9,40,5.4,0.0,3
86.6,5.3,12.3,51,0.9,0.0,3
89.3,9.6,11.5,39,5.8,0.0,3
89.3,9.6,5.5,59,6.3,0.0,3
93.0,7.7,18.8,35,4.9,0.0,4
90.2,6.3,20.8,33,2.7,0.0,3
91.1,5.8,23.1,31,3.1,0.0,4
91.7,6.3,18.6,44,4.5,0.0,4
92.4,12.2,23.0,37,4.5,0.0,4
92.4,12.2,19.6,33,5.4,0.0,4
92.4,12.2,19.6,33,6.3,0.0,4
91.7,9.0,17.2,26,4.5,0.0,4
91.2,12.5,15.8,27,7.6,0.0,4
94.3,15.9,17.7,37,3.6,0.0,4
91.7,9.0,15.6,25,6.3,0.0,4
88.8,9.0,17.3,43,4.5,0.0,3
93.3,13.9,27.6,30,1.3,0.0,4
84.2,7.7,6.7,79,3.1,0.0,3
86.6,5.3,15.7,43,3.1,0.0,3
87.6,5.0,8.3,72,3.1,0.0,3
