date_of_fire,fire_count,fire_risk_class
2024-01-25,2,1
2024-01-30,2,1
2024-02-01,1,1
2024-02-02,1,1
2024-02-18,1,1
2024-02-19,1,1
2024-02-28,1,1
2024-03-04,2,1
2024-03-07,1,1
2024-03-21,1,1
2024-03-24,1,1
2024-04-10,2,1
2024-04-11,1,1
2024-04-13,1,1
2024-04-14,1,1
2024-04-17,1,1
2024-04-18,1,1
2024-04-21,1,1
2024-04-22,1,1
2024-04-23,1,1
2024-05-08,1,1
2024-05-18,1,1
2024-05-22,2,1
2024-05-23,1,1
2024-05-24,2,1
2024-05-25,1,1
2024-05-27,2,1
2024-05-28,1,1
2024-05-29,4,2
2024-06-04,1,1
2024-06-14,2,1
2024-06-15,1,1
2024-06-16,1,1
2024-06-21,1,1
2024-06-22,1,1
2024-06-24,1,1
2024-07-03,1,1
2024-07-05,1,1
2024-07-07,1,1
2024-07-17,1,1
2024-07-22,1,1
2024-07-23,1,1
2024-07-24,1,1
2024-08-11,1,1
2024-08-20,1,1
2024-08-21,2,1
2024-08-22,1,1
2024-08-24,1,1
2024-08-25,4,2
2024-08-26,1,1
2024-08-27,5,2
2024-09-03,1,1
2024-09-04,4,2
2024-09-06,1,1
2024-09-08,1,1
2024-09-09,2,1
2024-09-11,2,1
2024-09-13,4,2
2024-09-14,60,3
2024-09-15,2,1
2024-09-16,48,3
2024-09-17,30,3
2024-09-19,1,1
2024-09-28,1,1
2024-09-29,1,1
2024-09-30,1,1
2024-10-01,67,3
2024-10-08,1,1
2024-10-10,1,1
2024-10-19,1,1
2024-10-21,2,1
2024-10-22,7,2
2024-10-23,1,1
2024-10-24,1,1
2024-11-02,1,1
2024-11-13,1,1
2024-11-15,1,1
2024-11-23,1,1
2024-11-24,1,1
2024-11-27,1,1
2024-12-02,1,1
2024-12-03,1,1
2024-12-08,4,2
2024-12-15,1,1
2024-12-16,1,1
2024-12-17,1,1
2024-12-19,1,1
2024-12-24,1,1
2024-12-25,3,1
2024-12-31,2,1
2025-01-14,1,1
2025-01-15,1,1
2025-01-16,2,1
2025-01-17,1,1
2025-01-30,1,1
2025-02-04,1,1
2025-02-05,1,1
2025-02-08,1,1
2025-02-23,1,1
2025-02-24,1,1
2025-02-26,1,1
2025-03-12,1,1
2025-03-15,14,2
2025-03-19,1,1
2025-03-24,1,1
2025-03-26,2,1
2025-03-27,1,1
2025-03-28,3,1
2025-03-29,1,1
2025-03-30,1,1
2025-03-31,4,2
2025-04-09,1,1
2025-04-26,1,1
2025-05-01,1,1
2025-05-08,1,1
2025-05-11,1,1
2025-05-14,2,1
2025-05-15,3,1
2025-05-16,1,1
2025-05-20,3,1
2025-05-24,1,1
2025-05-28,1,1
2025-06-04,1,1
2025-06-10,2,1
2025-06-18,3,1
2025-06-20,1,1
2025-06-21,4,2
2025-06-30,1,1
2025-07-01,1,1
2025-07-03,2,1
2025-07-04,1,1
2025-07-08,2,1
2025-07-09,1,1
2025-07-12,1,1
2025-07-13,1,1
2025-07-14,1,1
2025-07-19,1,1
2025-07-21,2,1
2025-07-22,2,1
2025-07-23,1,1
2025-07-24,1,1
2025-07-25,1,1
2025-07-27,1,1
2025-07-29,214,3
2025-07-30,8,2
2025-07-31,2,1
2025-08-02,8,2
2025-08-04,1,1
2025-08-06,1,1
2025-08-10,1,1
2025-08-11,19,3
2025-08-12,21,3
2025-08-13,85,3
2025-08-14,240,3
2025-08-15,820,3
2025-08-16,187,3
2025-08-17,114,3
2025-08-18,1446,3
2025-08-19,976,3
2025-08-20,354,3
2025-08-21,237,3
2025-08-22,125,3
2025-08-23,21,3
2025-08-24,8,2
2025-08-30,4,2
2025-09-03,1,1
2025-09-04,1,1
2025-09-06,1,1
2025-09-09,1,1
2025-09-11,1,1
2025-09-12,1,1
2025-09-14,1,1
2025-09-15,7,2
2025-09-16,1,1
2025-09-17,1,1
2025-09-21,1,1
2025-09-23,12,2
2025-09-24,2,1
2025-09-29,13,2
2025-10-04,82,3
2025-10-10,3,1
2025-10-11,1,1
2025-10-15,14,2
2025-10-18,1,1
2025-10-20,3,1
2025-10-27,3,1
2025-10-29,1,1
2025-11-03,1,1
2025-11-08,1,1
2025-11-09,1,1
2025-11-14,1,1
2025-11-21,1,1
2025-11-25,1,1
2025-11-26,1,1
2025-11-27,1,1
2025-12-25,1,1
2025-12-26,1,1
2025-12-29,1,1
