latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.03768,-8.27549,334.56,0.57,0.43,2024-01-25,1304,N,VIIRS,n,2,291.13,31.69,D,0
40.04164,-8.27643,335.97,0.57,0.43,2024-01-25,1304,N,VIIRS,n,2,291.81,31.69,D,0
40.04078,-8.27204,344.29,0.48,0.4,2024-01-30,1310,N,VIIRS,n,2,289.86,18.97,D,0
40.04552,-8.26746,355.03,0.48,0.4,2024-01-30,1310,N,VIIRS,n,2,287.83,18.88,D,0
40.28978,-8.41682,295.19,0.52,0.42,2024-02-01,0250,N,VIIRS,n,2,282.97,0.64,N,0
40.28785,-8.41901,297.07,0.39,0.36,2024-02-02,0231,N,VIIRS,n,2,279.54,0.44,N,2
40.28992,-8.42017,297.55,0.39,0.36,2024-02-18,0231,N,VIIRS,n,2,277.72,0.74,N,2
40.26321,-6.87691,326.28,0.43,0.38,2024-02-19,1335,N,VIIRS,n,2,290.07,1.57,D,0
40.28939,-8.4196,296.65,0.45,0.39,2024-02-28,0244,N,VIIRS,n,2,278.45,0.76,N,2
39.19518,-7.77883,348.96,0.35,0.57,2024-03-04,1412,N,VIIRS,n,2,290.13,5.09,D,0
39.1941,-7.7783,341.3,0.35,0.57,2024-03-04,1412,N,VIIRS,n,2,289.85,4.4,D,0
39.64503,-6.99952,337.18,0.4,0.37,2024-03-07,1316,N,VIIRS,n,2,288.16,2.08,D,0
40.28735,-8.41823,298.25,0.39,0.36,2024-03-21,0231,N,VIIRS,n,2,282.46,0.86,N,2
40.28911,-8.41904,301.52,0.35,0.57,2024-03-24,0315,N,VIIRS,n,2,287.46,0.52,N,2
40.01255,-8.2781,354.3,0.38,0.59,2024-04-10,1239,N,VIIRS,n,2,279.87,4.82,D,0
40.00874,-8.2781,340.95,0.38,0.59,2024-04-10,1239,N,VIIRS,n,2,278.46,5.48,D,0
40.08778,-8.17398,334.44,0.64,0.72,2024-04-11,1220,N,VIIRS,n,2,297.11,5.16,D,0
