Time,Temperature,Soil_Moisture,Humidity,Wind_Speed,Rainfall
2026-02-01 00:00:00,18.3,562.1,96,2.98,0.0
2026-02-01 01:00:00,18.5,386.1,96,3.58,0.0
2026-02-01 02:00:00,18.4,380.2,96,3.54,0.0
2026-02-01 03:00:00,18.3,378.7,97,3.4,0.0
2026-02-01 04:00:00,18.0,379.1,98,3.57,0.3
2026-02-01 05:00:00,17.5,378.9,98,3.86,0.2
2026-02-01 06:00:00,17.0,381.0,99,1.96,0.1
2026-02-01 07:00:00,16.3,379.8,96,4.88,0.6
2026-02-01 08:00:00,15.7,378.9,96,5.7,0.6
2026-02-01 09:00:00,15.1,380.6,94,4.57,0.8
2026-02-01 10:00:00,14.5,381.4,93,4.61,0.7
2026-02-01 11:00:00,14.0,380.6,94,4.2,0.3
2026-02-01 12:00:00,13.7,827.1,90,4.79,0.1
2026-02-01 13:00:00,13.5,901.0,87,4.37,0.0
2026-02-01 14:00:00,13.5,818.1,78,5.01,0.0
2026-02-01 15:00:00,13.7,559.4,78,4.43,0.1
2026-02-01 16:00:00,14.0,385.5,82,3.09,0.0
2026-02-01 17:00:00,14.5,379.1,91,1.72,0.0
2026-02-01 18:00:00,15.0,380.0,95,1.66,0.0
2026-02-01 19:00:00,15.6,378.9,95,2.06,0.0
2026-02-01 20:00:00,16.3,382.0,96,1.9,0.0
2026-02-01 21:00:00,17.0,379.4,98,1.83,0.0
2026-02-01 22:00:00,17.5,378.3,98,1.77,0.0
2026-02-01 23:00:00,18.0,380.3,98,1.63,0.0
2026-02-02 00:00:00,18.4,380.2,94,1.18,0.0
2026-02-02 01:00:00,18.6,379.1,94,1.46,0.0
2026-02-02 02:00:00,18.5,380.5,94,1.8,0.0
2026-02-02 03:00:00,18.4,378.2,97,2.6,0.0
2026-02-02 04:00:00,18.0,380.5,98,2.96,0.0
2026-02-02 05:00:00,17.6,377.7,98,3.66,0.0
2026-02-02 06:00:00,17.0,381.2,97,3.86,0.0
2026-02-02 07:00:00,16.4,381.6,95,4.08,0.0
2026-02-02 08:00:00,15.7,381.0,93,4.7,0.0
2026-02-02 09:00:00,15.1,380.2,91,5.91,0.1
2026-02-02 10:00:00,14.6,380.7,90,6.17,0.1
2026-02-02 11:00:00,14.1,380.1,85,6.25,0.0
2026-02-02 12:00:00,13.8,379.8,85,6.33,0.1
