Date,fire_risk_class,Soil_Moisture,Temperature,Light
2024-01-02,0.0,0.2821,11.8,1.0334
2024-01-05,0.0,0.3919,7.21,2.4197
2024-01-07,0.0,0.3497,5.22,2.8061
2024-01-08,0.0,0.3383,3.81,1.2384
2024-01-10,0.0,0.3136,7.24,1.3764
2024-01-13,0.0,0.3189,8.15,1.5012
2024-01-15,0.0,0.3513,14.63,1.2679
2024-01-16,0.0,0.3575,14.21,0.8359
2024-01-18,0.0,0.3996,12.73,1.8713
2024-01-21,0.0,0.3692,5.27,3.0943
2024-01-23,0.0,0.3435,9.7,2.9921
2024-01-24,0.0,0.348,10.52,3.2033
2024-01-26,0.0,0.3474,11.13,2.875
2024-01-29,0.0,0.3214,10.49,2.7854
2024-01-31,0.0,0.3145,8.95,3.113
2024-02-01,1.0,0.323,9.84,3.3907
2024-02-03,0.0,0.3069,9.09,3.4994
2024-02-06,0.0,0.2924,10.71,3.3866
2024-02-08,0.0,0.2817,11.25,0.9761
2024-02-09,0.0,0.3699,11.83,1.8602
2024-02-11,0.0,0.3456,9.41,1.0505
2024-02-14,0.0,0.3546,13.67,2.3184
2024-02-16,0.0,0.3592,11.99,2.9162
2024-02-17,0.0,0.3751,10.44,3.8837
2024-02-19,1.0,0.3328,11.53,4.26
2024-02-22,0.0,0.3003,11.04,1.8847
2024-02-24,0.0,0.3509,8.73,2.8958
2024-02-25,0.0,0.3577,12.28,2.0311
2024-02-27,0.0,0.3547,6.62,4.897
2024-03-01,0.0,0.3117,7.34,3.4346
2024-03-03,0.0,0.3401,8.43,3.5004
2024-03-04,2.0,0.3158,10.56,3.4699
2024-03-06,0.0,0.337,8.61,4.579
2024-03-09,0.0,0.4094,8.27,2.8908
2024-03-11,0.0,0.3672,10.5,3.4963
2024-03-12,0.0,0.3649,9.75,5.1118
2024-03-14,0.0,0.3073,12.48,3.0787
2024-03-17,0.0,0.3127,16.3,4.6567
2024-03-19,0.0,0.2966,15.18,4.0512
2024-03-20,0.0,0.2809,14.22,4.0387
2024-03-22,0.0,0.2706,15.96,3.0014
2024-03-25,0.0,0.2606,12.48,4.6166
2024-03-27,0.0,0.3112,11.5,2.5805
2024-03-28,0.0,0.3467,11.98,2.5414
2024-03-30,0.0,0.3567,8.79,3.4574
2024-04-02,0.0,0.3225,11.35,2.2558
2024-04-04,0.0,0.3343,13.47,5.7134
2024-04-05,0.0,0.2913,15.02,5.9225
2024-04-07,0.0,0.3402,14.27,5.8008
2024-04-10,2.0,0.2825,13.03,6.5702
2024-04-12,0.0,0.2524,18.05,7.0157
2024-04-13,1.0,0.2404,18.96,6.8066
2024-04-15,0.0,0.2231,19.39,7.176
2024-04-18,1.0,0.181,17.55,6.7421
2024-04-20,0.0,0.1764,16.72,3.8849
2024-04-21,1.0,0.1892,16.69,7.2017
2024-04-23,1.0,0.1749,12.55,7.2298
2024-04-26,0.0,0.1231,12.17,3.9775
2024-04-28,0.0,0.1661,10.5,6.0312
2024-04-29,0.0,0.1596,12.04,7.1784
2024-05-01,0.0,0.1956,10.08,5.9676
2024-05-04,0.0,0.1576,14.63,5.7823
2024-05-06,0.0,0.1848,15.46,7.9704
2024-05-07,0.0,0.158,16.21,7.9562
2024-05-09,0.0,0.1318,18.56,6.3734
2024-05-12,0.0,0.1181,18.44,7.3555
2024-05-14,0.0,0.1091,13.53,5.8762
2024-05-15,0.0,0.1013,12.52,6.1932
2024-05-17,0.0,0.1348,14.98,6.1034
2024-05-20,0.0,0.0984,14.84,6.6672
2024-05-22,2.0,0.0935,14.46,6.9089
2024-05-23,1.0,0.092,16.31,8.5186
2024-05-25,1.0,0.0966,17.83,8.4458
2024-05-28,1.0,0.0793,21.69,8.3489
2024-05-30,0.0,0.091,25.36,8.346
2024-05-31,0.0,0.0866,25.43,8.2591
2024-06-02,0.0,0.0941,23.38,8.1554
2024-06-05,0.0,0.085,23.73,7.5118
2024-06-07,0.0,0.0844,25.21,5.3964
2024-06-08,0.0,0.1765,20.68,4.8046
2024-06-10,0.0,0.1387,20.65,4.433
2024-06-13,0.0,0.117,21.36,8.6743
2024-06-15,1.0,0.0944,18.62,8.8399
2024-06-16,1.0,0.0809,20.02,8.6758
2024-06-18,0.0,0.284,19.03,5.4869
2024-06-21,1.0,0.1968,21.2,8.617
2024-06-23,0.0,0.153,25.41,7.4878
2024-06-24,1.0,0.1285,28.15,8.345
2024-06-26,0.0,0.1163,21.92,7.6061
2024-06-29,0.0,0.2316,20.42,3.2611
2024-07-02,0.0,0.1384,26.48,8.52
2024-07-04,0.0,0.1195,29.29,8.3861
2024-07-07,1.0,0.0945,21.18,8.6846
2024-07-09,0.0,0.0824,23.16,7.2118
2024-07-10,0.0,0.0695,25.46,7.7542
2024-07-12,0.0,0.081,24.82,8.623
2024-07-15,0.0,0.0914,22.95,7.711
2024-07-17,1.0,0.0761,26.11,8.4564
2024-07-18,0.0,0.0764,27.97,8.1811
2024-07-20,0.0,0.0827,25.08,8.0278
2024-07-23,1.0,0.0812,32.94,8.1396
2024-07-25,0.0,0.095,29.69,8.0158
2024-07-26,0.0,0.079,29.43,7.8038
2024-07-28,0.0,0.0923,30.48,7.5694
2024-07-31,0.0,0.1071,28.71,7.6082
2024-08-02,0.0,0.0924,26.18,7.8199
2024-08-03,0.0,0.0771,28.8,7.8014
2024-08-05,0.0,0.0852,29.88,7.818
2024-08-08,0.0,0.0831,28.39,7.5588
2024-08-11,1.0,0.0895,30.24,7.3337
2024-08-13,0.0,0.083,24.09,6.6782
2024-08-16,0.0,0.0789,30.74,7.5636
2024-08-18,0.0,0.0835,29.39,7.182
2024-08-19,0.0,0.0817,29.66,7.2542
2024-08-21,2.0,0.0788,29.87,7.0344
2024-08-24,1.0,0.0759,27.2,6.9715
2024-08-26,1.0,0.0808,28.96,6.209
2024-08-27,2.0,0.0855,27.1,6.9283
2024-08-29,0.0,0.0819,24.65,6.1781
2024-09-01,0.0,0.0781,24.31,6.5803
2024-09-03,1.0,0.0763,23.8,6.2201
2024-09-04,2.0,0.0723,25.78,6.587
2024-09-06,1.0,0.0809,19.22,6.7186
2024-09-09,2.0,0.0671,22.45,6.4164
2024-09-11,2.0,0.077,25.38,5.6585
2024-09-12,0.0,0.0685,24.99,6.0166
2024-09-14,2.0,0.0858,24.29,5.8834
2024-09-17,2.0,0.0903,23.68,5.8481
2024-09-19,1.0,0.0881,22.89,4.0406
2024-09-20,0.0,0.109,22.04,3.5688
2024-09-22,0.0,0.0986,20.56,4.6366
2024-09-25,0.0,0.2164,22.08,2.4636
2024-09-27,0.0,0.2268,16.69,4.8384
2024-09-28,1.0,0.1842,16.69,5.0844
2024-09-30,1.0,0.1563,20.53,5.4211
2024-10-03,0.0,0.15,19.82,3.4262
2024-10-05,0.0,0.1226,21.03,2.9064
2024-10-06,0.0,0.1239,20.78,2.2675
2024-10-08,1.0,0.2514,17.97,2.3162
2024-10-11,0.0,0.2693,18.03,1.2319
2024-10-13,0.0,0.3276,19.14,2.3309
2024-10-14,0.0,0.3116,19.41,3.2827
2024-10-16,0.0,0.3708,18.32,2.8337
2024-10-19,1.0,0.3033,16.57,2.436
2024-10-21,2.0,0.2894,16.57,4.2626
2024-10-22,2.0,0.2844,17.28,4.1645
2024-10-24,1.0,0.265,17.27,2.8567
2024-10-27,0.0,0.2686,11.33,3.8174
2024-10-30,0.0,0.2533,13.41,2.6258
2024-11-01,0.0,0.3466,14.46,1.7165
2024-11-04,0.0,0.285,15.13,1.9853
2024-11-06,0.0,0.3099,16.03,3.3158
2024-11-07,0.0,0.293,15.04,2.9594
2024-11-09,0.0,0.2787,14.94,3.1663
2024-11-12,0.0,0.2761,11.89,3.3137
2024-11-14,0.0,0.2484,11.25,1.0198
2024-11-15,1.0,0.2481,12.78,1.1342
2024-11-17,0.0,0.3242,13.62,1.8046
