Date,Temperature,Light
2024-01-01,7.21,2.6398
2024-01-02,11.8,1.0334
2024-01-03,12.23,0.7714
2024-01-04,8.9,1.5869
2024-01-05,7.21,2.4197
2024-01-06,6.31,2.6242
2024-01-07,5.22,2.8061
2024-01-08,3.81,1.2384
2024-01-09,4.88,1.1381
2024-01-10,7.24,1.3764
2024-01-11,6.66,2.5262
2024-01-12,5.3,2.0957
2024-01-13,8.15,1.5012
2024-01-14,11.18,0.6564
2024-01-15,14.63,1.2679
2024-01-16,14.21,0.8359
2024-01-17,13.5,1.9044
2024-01-18,12.73,1.8713
2024-01-19,8.53,2.3966
2024-01-20,2.91,3.1678
2024-01-21,5.27,3.0943
2024-01-22,5.36,2.6954
2024-01-23,9.7,2.9921
2024-01-24,10.52,3.2033
2024-01-25,10.47,2.9362
2024-01-26,11.13,2.875
2024-01-27,11.45,2.6945
2024-01-28,10.81,2.3585
2024-01-29,10.49,2.7854
2024-01-30,9.04,3.0869
2024-01-31,8.95,3.113
2024-02-01,9.84,3.3907
2024-02-02,9.73,3.4174
2024-02-03,9.09,3.4994
2024-02-04,9.47,3.3053
2024-02-05,10.57,2.773
2024-02-06,10.71,3.3866
2024-02-07,11.69,1.5701
2024-02-08,11.25,0.9761
2024-02-09,11.83,1.8602
2024-02-10,8.75,2.7202
2024-02-11,9.41,1.0505
2024-02-12,14.2,2.7866
2024-02-13,14.08,1.5036
2024-02-14,13.67,2.3184
2024-02-15,12.43,1.8149
2024-02-16,11.99,2.9162
2024-02-17,10.44,3.8837
2024-02-18,9.69,3.9228
2024-02-19,11.53,4.26
2024-02-20,12.12,4.3073
2024-02-21,11.49,3.6269
2024-02-22,11.04,1.8847
2024-02-23,7.79,3.3624
2024-02-24,8.73,2.8958
2024-02-25,12.28,2.0311
2024-02-26,8.63,4.1057
2024-02-27,6.62,4.897
2024-02-28,8.03,4.794
2024-02-29,8.27,4.0159
2024-03-01,7.34,3.4346
2024-03-02,8.63,1.7338
2024-03-03,8.43,3.5004
2024-03-04,10.56,3.4699
2024-03-05,9.38,4.6714
2024-03-06,8.61,4.579
2024-03-07,8.13,2.6328
2024-03-08,8.93,3.0
2024-03-09,8.27,2.8908
2024-03-10,10.14,3.9384
2024-03-11,10.5,3.4963
2024-03-12,9.75,5.1118
2024-03-13,12.32,5.3902
2024-03-14,12.48,3.0787
2024-03-15,13.19,2.4314
2024-03-16,15.71,3.6401
2024-03-17,16.3,4.6567
2024-03-18,15.32,4.3262
2024-03-19,15.18,4.0512
2024-03-20,14.22,4.0387
2024-03-21,15.78,4.3906
2024-03-22,15.96,3.0014
2024-03-23,16.08,3.4318
2024-03-24,16.1,2.85
2024-03-25,12.48,4.6166
2024-03-26,7.84,3.5846
2024-03-27,11.5,2.5805
2024-03-28,11.98,2.5414
2024-03-29,8.36,4.6193
2024-03-30,8.79,3.4574
2024-03-31,9.02,4.7155
2024-04-01,10.6,4.9049
2024-04-02,11.35,2.2558
2024-04-03,13.73,5.3842
2024-04-04,13.47,5.7134
